1	14361	29370	0	WASH7P
1	69090	70008	1	OR4F5
1	761585	762902	0	NCRNA00115
1	763063	789740	1	LOC643837
1	803450	812182	0	FAM41C
1	852952	854817	0	FLJ39609
1	861120	879961	1	SAMD11
1	879582	894679	0	NOC2L
1	895966	901099	1	KLHL17
1	901876	910484	1	PLEKHN1
1	910578	917473	0	C1orf170
1	934341	935552	0	HES4
1	948846	949919	1	ISG15
1	955502	991492	1	AGRN
1	1017197	1051736	0	C1orf159
1	1109285	1133313	1	TTLL10
1	1138887	1142089	0	TNFRSF18
1	1146705	1149548	0	TNFRSF4
1	1152287	1167447	0	SDF4
1	1167628	1170420	1	B3GALT6
1	1177832	1182102	0	FAM132A
1	1189291	1209234	0	UBE2J2
1	1210637	1227409	1	SCNN1D
1	1227763	1243269	0	ACAP3
1	1243993	1247057	1	PUSL1
1	1246964	1260046	0	CPSF3L
1	1260142	1264276	1	GLTPD1
1	1266725	1269844	1	TAS1R3
1	1270657	1284492	0	DVL1
1	1288070	1293915	0	MXRA8
1	1309109	1310818	0	AURKAIP1
1	1321090	1334718	0	CCNL2
1	1334909	1337426	1	LOC148413
1	1337275	1342693	0	MRPL20
1	1353799	1356650	0	LOC441869
1	1361507	1363167	1	TMEM88B
1	1370902	1378262	1	VWA1
1	1385068	1405538	1	ATAD3C
1	1407163	1431582	1	ATAD3B
1	1447522	1470067	1	ATAD3A
1	1470157	1475740	0	C1orf70
1	1477052	1510262	0	SSU72
1	1550794	1565990	1	MIB2
1	1567559	1570030	1	MMP23B
1	1568158	1633247	1	MMP23A
1	1571099	1655775	0	CDK11B
1	1592938	1624243	0	SLC35E2B
1	1634169	1655791	0	CDK11A
1	1656276	1677438	0	SLC35E2
1	1682670	1711508	0	NADK
1	1716728	1822495	0	GNB1
1	1846265	1848733	1	CALML6
1	1849028	1850740	0	TMEM52
1	1884751	1935276	0	KIAA1751
1	1950767	1962192	1	GABRD
1	1981908	2116834	1	PRKCZ
1	2115898	2139172	0	C1orf86
1	2160133	2241652	1	SKI
1	2252695	2322993	0	MORN1
1	2281852	2284100	0	LOC100129534
1	2323213	2336885	1	RER1
1	2336240	2344010	0	PEX10
1	2407753	2436964	1	PLCH2
1	2439974	2458035	0	PANK4
1	2460183	2461684	0	HES5
1	2481358	2484284	0	LOC115110
1	2487804	2495267	1	TNFRSF14
1	2517898	2522908	1	C1orf93
