A1BG	6.175713E-01
A2M	7.579863E-01
NAT1	1.491244E-01
NAT2	8.454334E-01
SERPINA3	4.879895E-01
AADAC	8.108580E-01
AAMP	7.280385E-01
AANAT	5.909532E-01
AARS	8.658704E-01
ABAT	3.971265E-01
ABCA1	9.808478E-02
ABCA2	7.922810E-01
ABCA3	6.063360E-01
ABCB7	NaN
ABCA4	3.852736E-01
ABL1	4.036845E-02
ABP1	8.429800E-01
ABL2	4.445767E-01
ABO	5.594073E-03
ABR	2.620343E-01
ACAA1	2.709184E-01
ACACA	7.973923E-01
ACACB	1.320177E-01
ACADL	7.247794E-01
ACADM	4.888785E-01
ACADS	1.936312E-02
ACADSB	2.405325E-01
ACADVL	2.211766E-01
ACAT1	1.699562E-01
ACAT2	9.257916E-01
ACCN1	3.973478E-01
ACCN2	3.553448E-01
ACHE	6.952162E-01
ACLY	7.298560E-01
ACO1	5.727694E-01
ACR	7.390526E-01
ACO2	5.929552E-01
ACOX1	3.671122E-01
ACP1	4.666334E-01
ACP2	8.549942E-01
ACP5	1.060029E-01
ACPP	4.785032E-02
ACRV1	7.812764E-01
ACTA1	3.124091E-01
ACTA2	5.041492E-01
ACTB	8.382378E-01
ACTC1	5.012322E-01
ACTG1	5.715443E-01
ACTG2	5.051645E-01
ACTN4	3.722346E-01
ACTL6A	1.558535E-01
ACTN1	4.024913E-01
ACTN2	6.473847E-01
ACTN3	6.004275E-01
ACVR1	5.150560E-01
ACVR1B	3.597931E-01
ACVR2A	3.084061E-01
ACVR2B	7.221823E-01
ACVRL1	5.022264E-01
ACY1	5.439019E-01
ACYP1	3.120314E-01
ACYP2	8.125151E-01
ADA	7.789871E-01
ADAM8	5.972786E-01
ADAM10	5.678498E-01
ADAR	3.309900E-01
ADARB1	7.013984E-01
ADARB2	7.947698E-01
ADCY1	7.248176E-01
ADCY2	7.621004E-01
ADCY3	4.138167E-01
ADCY5	3.102353E-07
ADCY6	8.591848E-01
ADCY7	3.109459E-03
ADCY8	4.822878E-01
ADCY9	3.046806E-01
ADCYAP1	4.654244E-01
ADCYAP1R1	4.385383E-02
ADD1	3.078485E-02
ADD2	8.018644E-01
ADD3	6.757430E-01
PLIN2	2.890898E-02
ADH1A	7.256173E-01
ADH1B	7.934922E-01
ADH1C	8.037520E-01
ADH4	8.813553E-01
ADH5	8.873107E-01
ADH6	8.840638E-01
ADH7	6.148480E-01
ADK	7.774567E-01
ADM	4.987722E-01
ADORA1	5.026979E-01
ADORA2A	5.960050E-01
ADORA2B	1.767000E-01
ADORA3	7.252022E-02
ADPRH	8.638890E-01
PARP1	5.192897E-01
PARP4	9.130979E-02
ADRA1D	4.203293E-01
ADRA1B	6.633013E-01
ADRA1A	2.587969E-01
ADRA2A	4.227551E-01
ADRA2B	8.108205E-01
ADRA2C	3.635816E-01
ADRB1	2.601755E-01
ADRB2	8.351055E-01
ADRB3	6.483184E-01
